7.5,77.0,6.0
12.0,9.5,40.0
14.0,11.6,69.0
14.0,4.1,95.0
13.0,3.6,113.8
18.0,4.8,153.0
20.7,6.6,181.7
13.5,7.3,215.0
10.5,4.7,231.2
12.0,6.7,258.0
10.0,0.9,275.0
18.0,4.6,289.0
16.0,10.8,324.0
12.0,5.4,352.8
10.0,0.7,385.0
14.0,2.0,399.6
16.0,0.8,419.0
16.0,3.9,440.0
28.0,22.0,550.0
20.0,18.5,645.0
14.0,13.0,700.0
32.0,35.0,793.0
20.0,23.0,888.0
15.0,15.0,1005.0
22.0,24.5,1123.0
18.0,74.0,1240.0
40.0,38.0,1360.0
22.0,23.0,1500.0
9.0,10.0,1583.0
17.0,40.0,1630.0
20.0,12.0,1717.0
